Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,filename2,filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Id,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR11944159,AMPLICON,502,21315924,PRJNA637763,SAMN15154112,Metagenome or environmental,13502279,CYKINSO,2017-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488694,c075_R2.fastq.gz,c075_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c075,Illumina MiSeq,gut,35.68 N 139.70 E,c075,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-55-CYK2020,SRP266324
SRR11944160,AMPLICON,502,27990516,PRJNA637763,SAMN15154040,Metagenome or environmental,20470817,CYKINSO,2017-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488693,c009_R2.fastq.gz,c009_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c009,Illumina MiSeq,gut,35.68 N 139.70 E,c009,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-9-CYK2020,SRP266324
SRR11944162,AMPLICON,502,21619132,PRJNA637763,SAMN15154110,Metagenome or environmental,13425172,CYKINSO,2017-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488691,c073_R2.fastq.gz,c073_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c073,Illumina MiSeq,gut,35.68 N 139.70 E,c073,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-53-CYK2020,SRP266324
SRR11944163,AMPLICON,502,13358220,PRJNA637763,SAMN15154109,Metagenome or environmental,8011203,CYKINSO,2017-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488690,c072_R2.fastq.gz,c072_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c072,Illumina MiSeq,gut,35.68 N 139.70 E,c072,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-52-CYK2020,SRP266324
SRR11944165,AMPLICON,502,21417830,PRJNA637763,SAMN15154107,Metagenome or environmental,11316983,CYKINSO,2018-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488688,c070_R2.fastq.gz,c070_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c070,Illumina MiSeq,gut,35.68 N 139.70 E,c070,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-25-CYK2020,SRP266324
SRR11944166,AMPLICON,502,20039840,PRJNA637763,SAMN15154106,Metagenome or environmental,10998605,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488687,c069_R2.fastq.gz,c069_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c069,Illumina MiSeq,gut,35.68 N 139.70 E,c069,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-24-CYK2020,SRP266324
SRR11944167,AMPLICON,502,17084566,PRJNA637763,SAMN15154105,Metagenome or environmental,8763186,CYKINSO,2018-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488686,c068_R2.fastq.gz,c068_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c068,Illumina MiSeq,gut,35.68 N 139.70 E,c068,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-51-CYK2020,SRP266324
SRR11944168,AMPLICON,502,18170392,PRJNA637763,SAMN15154104,Metagenome or environmental,9804120,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488685,c067_R2.fastq.gz,c067_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c067,Illumina MiSeq,gut,35.68 N 139.70 E,c067,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-23-CYK2020,SRP266324
SRR11944169,AMPLICON,502,16539394,PRJNA637763,SAMN15154103,Metagenome or environmental,9632892,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488684,c066_R2.fastq.gz,c066_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c066,Illumina MiSeq,gut,35.68 N 139.70 E,c066,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-22-CYK2020,SRP266324
SRR11944170,AMPLICON,502,15820530,PRJNA637763,SAMN15154102,Metagenome or environmental,11025668,CYKINSO,2017-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488683,c065_R2.fastq.gz,c065_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c065,Illumina MiSeq,gut,35.68 N 139.70 E,c065,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-50-CYK2020,SRP266324
SRR11944171,AMPLICON,502,36469798,PRJNA637763,SAMN15154039,Metagenome or environmental,23416741,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488682,c008_R2.fastq.gz,c008_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c008,Illumina MiSeq,gut,35.68 N 139.70 E,c008,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-8-CYK2020,SRP266324
SRR11944172,AMPLICON,502,17647308,PRJNA637763,SAMN15154101,Metagenome or environmental,10019148,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488681,c064_R2.fastq.gz,c064_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c064,Illumina MiSeq,gut,35.68 N 139.70 E,c064,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-21-CYK2020,SRP266324
SRR11944173,AMPLICON,502,28434284,PRJNA637763,SAMN15154100,Metagenome or environmental,17873280,CYKINSO,2017-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488680,c063_R2.fastq.gz,c063_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c063,Illumina MiSeq,gut,35.68 N 139.70 E,c063,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-49-CYK2020,SRP266324
SRR11944174,AMPLICON,502,18342076,PRJNA637763,SAMN15154099,Metagenome or environmental,10802607,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488679,c062_R2.fastq.gz,c062_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c062,Illumina MiSeq,gut,35.68 N 139.70 E,c062,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-48-CYK2020,SRP266324
SRR11944175,AMPLICON,502,18758736,PRJNA637763,SAMN15154098,Metagenome or environmental,10473782,CYKINSO,2017-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488678,c111_R2.fastq.gz,c111_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c111,Illumina MiSeq,gut,35.68 N 139.70 E,c111,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-47-CYK2020,SRP266324
SRR11944176,AMPLICON,502,17207556,PRJNA637763,SAMN15154097,Metagenome or environmental,9759073,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488677,c061_R2.fastq.gz,c061_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c061,Illumina MiSeq,gut,35.68 N 139.70 E,c061,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-20-CYK2020,SRP266324
SRR11944178,AMPLICON,502,14042948,PRJNA637763,SAMN15154095,Metagenome or environmental,8090623,CYKINSO,2017-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488675,c110_R2.fastq.gz,c110_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c110,Illumina MiSeq,gut,35.68 N 139.70 E,c110,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-45-CYK2020,SRP266324
SRR11944179,AMPLICON,502,15974644,PRJNA637763,SAMN15154094,Metagenome or environmental,8361059,CYKINSO,2018-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488674,c059_R2.fastq.gz,c059_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c059,Illumina MiSeq,gut,35.68 N 139.70 E,c059,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-19-CYK2020,SRP266324
SRR11944180,AMPLICON,502,27731986,PRJNA637763,SAMN15154093,Metagenome or environmental,17892552,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488673,c058_R2.fastq.gz,c058_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c058,Illumina MiSeq,gut,35.68 N 139.70 E,c058,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-44-CYK2020,SRP266324
SRR11944181,AMPLICON,502,21839008,PRJNA637763,SAMN15154092,Metagenome or environmental,12741282,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488672,c109_R2.fastq.gz,c109_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c109,Illumina MiSeq,gut,35.68 N 139.70 E,c109,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-43-CYK2020,SRP266324
SRR11944182,AMPLICON,502,27055290,PRJNA637763,SAMN15154038,Metagenome or environmental,14992200,CYKINSO,2017-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488671,c007_R2.fastq.gz,c007_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c007,Illumina MiSeq,gut,35.68 N 139.70 E,c007,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-7-CYK2020,SRP266324
SRR11944183,AMPLICON,502,15501258,PRJNA637763,SAMN15154091,Metagenome or environmental,7788276,CYKINSO,2018-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488670,c057_R2.fastq.gz,c057_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c057,Illumina MiSeq,gut,35.68 N 139.70 E,c057,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-18-CYK2020,SRP266324
SRR11944184,AMPLICON,502,16655858,PRJNA637763,SAMN15154090,Metagenome or environmental,8652644,CYKINSO,2018-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488669,c056_R2.fastq.gz,c056_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c056,Illumina MiSeq,gut,35.68 N 139.70 E,c056,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-17-CYK2020,SRP266324
SRR11944185,AMPLICON,502,16944508,PRJNA637763,SAMN15154089,Metagenome or environmental,10091216,CYKINSO,2018-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488668,c108_R2.fastq.gz,c108_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c108,Illumina MiSeq,gut,35.68 N 139.70 E,c108,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-42-CYK2020,SRP266324
SRR11944186,AMPLICON,502,26908204,PRJNA637763,SAMN15154088,Metagenome or environmental,14219542,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488667,c055_R2.fastq.gz,c055_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c055,Illumina MiSeq,gut,35.68 N 139.70 E,c055,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-16-CYK2020,SRP266324
SRR11944187,AMPLICON,502,14742234,PRJNA637763,SAMN15154087,Metagenome or environmental,8993905,CYKINSO,2018-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488666,c107_R2.fastq.gz,c107_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c107,Illumina MiSeq,gut,35.68 N 139.70 E,c107,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-41-CYK2020,SRP266324
SRR11944188,AMPLICON,502,21181890,PRJNA637763,SAMN15154086,Metagenome or environmental,12132083,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488665,c054_R2.fastq.gz,c054_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c054,Illumina MiSeq,gut,35.68 N 139.70 E,c054,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-15-CYK2020,SRP266324
SRR11944189,AMPLICON,502,14930986,PRJNA637763,SAMN15154085,Metagenome or environmental,8769641,CYKINSO,2018-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488664,c106_R2.fastq.gz,c106_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c106,Illumina MiSeq,gut,35.68 N 139.70 E,c106,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-40-CYK2020,SRP266324
SRR11944190,AMPLICON,502,15722640,PRJNA637763,SAMN15154084,Metagenome or environmental,8541283,CYKINSO,2018-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488663,c053_R2.fastq.gz,c053_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c053,Illumina MiSeq,gut,35.68 N 139.70 E,c053,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-14-CYK2020,SRP266324
SRR11944191,AMPLICON,502,15809988,PRJNA637763,SAMN15154083,Metagenome or environmental,8850075,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488662,c052_R2.fastq.gz,c052_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c052,Illumina MiSeq,gut,35.68 N 139.70 E,c052,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,HC-13-CYK2020,SRP266324
SRR11944192,AMPLICON,502,29338888,PRJNA637763,SAMN15154082,Metagenome or environmental,17580687,CYKINSO,2017-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488661,c051_R2.fastq.gz,c051_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c051,Illumina MiSeq,gut,35.68 N 139.70 E,c051,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-39-CYK2020,SRP266324
SRR11944193,AMPLICON,502,27945838,PRJNA637763,SAMN15154037,Metagenome or environmental,16762055,CYKINSO,2017-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488660,c006_R2.fastq.gz,c006_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c006,Illumina MiSeq,gut,35.68 N 139.70 E,c006,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-6-CYK2020,SRP266324
SRR11944195,AMPLICON,502,15213110,PRJNA637763,SAMN15154080,Metagenome or environmental,9200907,CYKINSO,2017-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488658,c049_R2.fastq.gz,c049_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c049,Illumina MiSeq,gut,35.68 N 139.70 E,c049,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-38-CYK2020,SRP266324
SRR11944196,AMPLICON,502,23223524,PRJNA637763,SAMN15154079,Metagenome or environmental,13250218,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488657,c048_R2.fastq.gz,c048_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c048,Illumina MiSeq,gut,35.68 N 139.70 E,c048,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-37-CYK2020,SRP266324
