Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA_accession,SRA Study,Submitter_Id,title
ERR5169594,AMPLICON,602,42449428,PRJEB37924,SAMEA7850047,25745213,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974515,SAMEA7850047,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850047,ibs_biopsy_12,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597206,ERP121278,ibs_biopsy_12,7554v1
ERR5169595,AMPLICON,602,48902868,PRJEB37924,SAMEA7850048,29889390,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974516,SAMEA7850048,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850048,ibs_biopsy_13,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597207,ERP121278,ibs_biopsy_13,7556v1
ERR5169596,AMPLICON,602,37717708,PRJEB37924,SAMEA7850049,23059340,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974517,SAMEA7850049,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850049,ibs_biopsy_14,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597208,ERP121278,ibs_biopsy_14,7556v2
ERR5169597,AMPLICON,602,74646796,PRJEB37924,SAMEA7850050,45073407,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974518,SAMEA7850050,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850050,ibs_biopsy_15,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597209,ERP121278,ibs_biopsy_15,7557v1
ERR5169598,AMPLICON,602,63737352,PRJEB37924,SAMEA7850051,38472461,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974519,SAMEA7850051,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850051,ibs_biopsy_16,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597210,ERP121278,ibs_biopsy_16,7557v2
ERR5169599,AMPLICON,602,63597688,PRJEB37924,SAMEA7850052,38265944,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974520,SAMEA7850052,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850052,ibs_biopsy_17,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597211,ERP121278,ibs_biopsy_17,7558v1
ERR5169600,AMPLICON,602,47720540,PRJEB37924,SAMEA7850053,28992738,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974521,SAMEA7850053,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850053,ibs_biopsy_18,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597212,ERP121278,ibs_biopsy_18,7559v1
ERR5169601,AMPLICON,602,45776682,PRJEB37924,SAMEA7850054,28173405,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974522,SAMEA7850054,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850054,ibs_biopsy_19,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597213,ERP121278,ibs_biopsy_19,7559v2
ERR5169602,AMPLICON,602,52447444,PRJEB37924,SAMEA7850055,31737503,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974523,SAMEA7850055,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850055,ibs_biopsy_20,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597214,ERP121278,ibs_biopsy_20,7561v1
ERR5169603,AMPLICON,602,44392684,PRJEB37924,SAMEA7850056,27074941,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974524,SAMEA7850056,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850056,ibs_biopsy_21,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597215,ERP121278,ibs_biopsy_21,7561v2
ERR5169604,AMPLICON,602,44746058,PRJEB37924,SAMEA7850057,27738615,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974525,SAMEA7850057,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850057,ibs_biopsy_22,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597216,ERP121278,ibs_biopsy_22,7562v1
ERR5169605,AMPLICON,602,33285784,PRJEB37924,SAMEA7850058,20323405,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974526,SAMEA7850058,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850058,ibs_biopsy_23,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597217,ERP121278,ibs_biopsy_23,7562v2
ERR5169606,AMPLICON,602,61330556,PRJEB37924,SAMEA7850059,37035734,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974527,SAMEA7850059,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850059,ibs_biopsy_24,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597218,ERP121278,ibs_biopsy_24,7563v1
ERR5169607,AMPLICON,602,49983458,PRJEB37924,SAMEA7850060,31103648,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974528,SAMEA7850060,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850060,ibs_biopsy_25,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597219,ERP121278,ibs_biopsy_25,7563v2
ERR5169608,AMPLICON,602,49845600,PRJEB37924,SAMEA7850061,30553126,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974529,SAMEA7850061,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850061,ibs_biopsy_26,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597220,ERP121278,ibs_biopsy_26,7564v1
ERR5169609,AMPLICON,602,44191014,PRJEB37924,SAMEA7850062,26759016,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974530,SAMEA7850062,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850062,ibs_biopsy_27,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597221,ERP121278,ibs_biopsy_27,7564v2
ERR5169610,AMPLICON,602,41746894,PRJEB37924,SAMEA7850063,25582993,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974531,SAMEA7850063,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850063,ibs_biopsy_28,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597222,ERP121278,ibs_biopsy_28,7565v1
ERR5169611,AMPLICON,602,42625212,PRJEB37924,SAMEA7850064,26132139,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974532,SAMEA7850064,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850064,ibs_biopsy_29,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597223,ERP121278,ibs_biopsy_29,7565v2
ERR5169612,AMPLICON,602,46428648,PRJEB37924,SAMEA7850065,28430257,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974533,SAMEA7850065,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850065,ibs_biopsy_30,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597224,ERP121278,ibs_biopsy_30,7566v1
ERR5169613,AMPLICON,602,41165362,PRJEB37924,SAMEA7850066,25431969,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974534,SAMEA7850066,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850066,ibs_biopsy_31,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597225,ERP121278,ibs_biopsy_31,7567v1
