Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,label,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,ReleaseDate,Sample Name,SRA Study
SRR1763574,AMPLICON,309,28851739,PRJNA268708,SAMN03224000,Metagenome or environmental,15442722,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845767,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.69.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.69.2,SRP050404
SRR1763575,AMPLICON,308,21349478,PRJNA268708,SAMN03224001,Metagenome or environmental,11828458,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845768,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.71.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.71.2,SRP050404
SRR1763576,AMPLICON,307,21026908,PRJNA268708,SAMN03224002,Metagenome or environmental,11672636,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845769,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.72.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.72.2,SRP050404
SRR1763577,AMPLICON,308,14246684,PRJNA268708,SAMN03224003,Metagenome or environmental,7790519,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845770,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.73.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.73.2,SRP050404
SRR1763578,AMPLICON,307,15693520,PRJNA268708,SAMN03224004,Metagenome or environmental,8760818,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845771,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.74.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.74.2,SRP050404
SRR1763580,AMPLICON,307,24276015,PRJNA268708,SAMN03224005,Metagenome or environmental,13447870,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845772,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.75.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.75.2,SRP050404
SRR1763582,AMPLICON,306,23508216,PRJNA268708,SAMN03224006,Metagenome or environmental,13604400,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845773,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.76.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.76.2,SRP050404
SRR1763584,AMPLICON,307,21862448,PRJNA268708,SAMN03224007,Metagenome or environmental,12265201,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845774,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.77.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.77.2,SRP050404
SRR1763587,AMPLICON,308,21606168,PRJNA268708,SAMN03224008,Metagenome or environmental,11976711,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845775,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.78.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.78.2,SRP050404
SRR1763589,AMPLICON,307,27432448,PRJNA268708,SAMN03224009,Metagenome or environmental,15358050,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845776,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.79.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.79.2,SRP050404
SRR1763591,AMPLICON,308,22374873,PRJNA268708,SAMN03224010,Metagenome or environmental,12180396,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845778,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.80.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.80.2,SRP050404
SRR1763593,AMPLICON,307,20918085,PRJNA268708,SAMN03224011,Metagenome or environmental,11680155,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845779,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.81.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.81.2,SRP050404
SRR1763594,AMPLICON,306,22728636,PRJNA268708,SAMN03224012,Metagenome or environmental,12943402,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845780,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.82.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.82.2,SRP050404
SRR1763596,AMPLICON,307,15110557,PRJNA268708,SAMN03224013,Metagenome or environmental,8410975,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845781,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.83.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.83.2,SRP050404
SRR1763599,AMPLICON,309,15032587,PRJNA268708,SAMN03224014,Metagenome or environmental,8316569,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845782,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.84.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.84.2,SRP050404
SRR1763600,AMPLICON,309,19696861,PRJNA268708,SAMN03224015,Metagenome or environmental,10357610,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845783,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.85.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.85.2,SRP050404
SRR1763601,AMPLICON,308,18819100,PRJNA268708,SAMN03224016,Metagenome or environmental,10307662,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845784,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.86.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.86.2,SRP050404
SRR1763604,AMPLICON,309,18333107,PRJNA268708,SAMN03224017,Metagenome or environmental,9891743,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845785,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.87.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.87.2,SRP050404
SRR1763606,AMPLICON,307,15870257,PRJNA268708,SAMN03224018,Metagenome or environmental,8822075,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845786,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.88.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.88.2,SRP050404
SRR1763608,AMPLICON,308,7793660,PRJNA268708,SAMN03224019,Metagenome or environmental,4259811,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845787,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.89.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.89.2,SRP050404
SRR1763610,AMPLICON,310,23539090,PRJNA268708,SAMN03224020,Metagenome or environmental,12441190,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845788,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.91.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.91.2,SRP050404
SRR1763615,AMPLICON,308,13209899,PRJNA268708,SAMN03224021,Metagenome or environmental,7241748,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845789,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.92.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.92.2,SRP050404
SRR1763619,AMPLICON,308,13054106,PRJNA268708,SAMN03224022,Metagenome or environmental,7230262,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845791,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.93.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.93.2,SRP050404
SRR1763620,AMPLICON,307,19106230,PRJNA268708,SAMN03224023,Metagenome or environmental,10541000,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845792,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.95.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.95.2,SRP050404
SRR1763623,AMPLICON,308,27351207,PRJNA268708,SAMN03224024,Metagenome or environmental,14994321,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845793,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.96.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.96.2,SRP050404
SRR1763634,AMPLICON,308,15203379,PRJNA268708,SAMN03224025,Metagenome or environmental,8244344,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845803,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.97.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.97.2,SRP050404
SRR1763645,AMPLICON,308,14613733,PRJNA268708,SAMN03224026,Metagenome or environmental,8087473,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845809,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.98.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.98.2,SRP050404
SRR1763650,AMPLICON,306,12343889,PRJNA268708,SAMN03224027,Metagenome or environmental,6939953,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845818,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.99.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.99.2,SRP050404
SRR1763661,AMPLICON,307,18859550,PRJNA268708,SAMN03224028,Metagenome or environmental,10480955,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845829,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.100.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.100.2,SRP050404
SRR1763666,AMPLICON,308,14411325,PRJNA268708,SAMN03224029,Metagenome or environmental,7715470,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845832,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.101.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.101.2,SRP050404
SRR1763670,AMPLICON,307,17630542,PRJNA268708,SAMN03224030,Metagenome or environmental,9877423,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845834,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.102.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.102.2,SRP050404
SRR1763672,AMPLICON,309,29181306,PRJNA268708,SAMN03224031,Metagenome or environmental,15590598,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845835,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.104.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.104.2,SRP050404
SRR1763673,AMPLICON,307,20386300,PRJNA268708,SAMN03224032,Metagenome or environmental,11469291,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845836,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.105.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.105.2,SRP050404
SRR1763674,AMPLICON,307,21562616,PRJNA268708,SAMN03224033,Metagenome or environmental,11907406,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845837,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.106.2,41.3833 N 2.1833 E,,SINGLE,PCR,SYNTHETIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.106.2,SRP050404
SRR1763675,AMPLICON,307,23235551,PRJNA268708,SAMN03224034,Metagenome or environmental,12942740,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845838,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.107.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.107.2,SRP050404
SRR1763678,AMPLICON,309,23805149,PRJNA268708,SAMN03224035,Metagenome or environmental,12772915,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845841,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.108.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.108.2,SRP050404
SRR1763680,AMPLICON,308,25376783,PRJNA268708,SAMN03224036,Metagenome or environmental,13945814,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845842,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.109.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.109.2,SRP050404
SRR1763681,AMPLICON,307,23854718,PRJNA268708,SAMN03224037,Metagenome or environmental,13227967,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845844,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.110.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.110.2,SRP050404
SRR1763684,AMPLICON,309,25332203,PRJNA268708,SAMN03224038,Metagenome or environmental,13674102,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845846,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.111.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.111.2,SRP050404
SRR1763685,AMPLICON,306,26445388,PRJNA268708,SAMN03224039,Metagenome or environmental,14805611,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845848,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.114.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.114.2,SRP050404
SRR1763686,AMPLICON,308,25416821,PRJNA268708,SAMN03224040,Metagenome or environmental,14283596,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845849,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.115.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.115.2,SRP050404
SRR1763687,AMPLICON,304,20039822,PRJNA268708,SAMN03224041,Metagenome or environmental,12114395,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845850,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.116.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.116.2,SRP050404
SRR1763689,AMPLICON,307,22209963,PRJNA268708,SAMN03224043,Metagenome or environmental,12264854,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845852,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.119.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.119.2,SRP050404
SRR1763692,AMPLICON,307,27278029,PRJNA268708,SAMN03224046,Metagenome or environmental,15170894,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845855,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.124.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.124.2,SRP050404
SRR1763694,AMPLICON,307,24947519,PRJNA268708,SAMN03224048,Metagenome or environmental,13936319,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845857,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.126.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.126.2,SRP050404
SRR1763695,AMPLICON,307,24057034,PRJNA268708,SAMN03224049,Metagenome or environmental,13373419,VHIR,2012-10-24,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845858,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.127.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.127.2,SRP050404
SRR1765911,AMPLICON,310,19574514,PRJNA268708,SAMN03224052,Metagenome or environmental,10767534,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847441,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.01,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.01,SRP050404
SRR1765912,AMPLICON,309,10246376,PRJNA268708,SAMN03224053,Metagenome or environmental,5740569,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847442,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.02,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.02,SRP050404
SRR1765917,AMPLICON,310,10893032,PRJNA268708,SAMN03224055,Metagenome or environmental,6127732,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847446,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.04,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.04,SRP050404
