"","Run","host_disease","host_subtype","sample_type","Collection","author","sequencing_tech","variable_region"
"SRR2923351","SRR2923351","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923352","SRR2923352","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923353","SRR2923353","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923354","SRR2923354","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923355","SRR2923355","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923356","SRR2923356","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923357","SRR2923357","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923358","SRR2923358","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923359","SRR2923359","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923360","SRR2923360","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923361","SRR2923361","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923362","SRR2923362","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923363","SRR2923363","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923364","SRR2923364","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923365","SRR2923365","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923366","SRR2923366","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923368","SRR2923368","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923369","SRR2923369","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923371","SRR2923371","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923373","SRR2923373","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923375","SRR2923375","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923376","SRR2923376","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923378","SRR2923378","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923380","SRR2923380","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923382","SRR2923382","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923383","SRR2923383","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923385","SRR2923385","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923387","SRR2923387","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923390","SRR2923390","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923391","SRR2923391","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923393","SRR2923393","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923395","SRR2923395","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923397","SRR2923397","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923398","SRR2923398","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923399","SRR2923399","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923400","SRR2923400","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923747","SRR2923747","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923748","SRR2923748","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923749","SRR2923749","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923750","SRR2923750","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923751","SRR2923751","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923752","SRR2923752","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923754","SRR2923754","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923755","SRR2923755","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923757","SRR2923757","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923759","SRR2923759","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923761","SRR2923761","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923763","SRR2923763","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923765","SRR2923765","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923766","SRR2923766","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923768","SRR2923768","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923771","SRR2923771","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923772","SRR2923772","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923773","SRR2923773","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923774","SRR2923774","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
