Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,sequencing_method,SRA_accession,SRA Study,title
ERR1051023,28_IonXpress_007_rawlib_fil,AMPLICON,207,20182175,PRJEB11252,SAMEA3594633,16190167,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_65D:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131308,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594633,ERS901782,IonTorrent PGM,ERS901782,ERP012611,28_IonXpress_007_rawlib_fil
ERR1051024,28_IonXpress_008_rawlib_fil,AMPLICON,209,16703461,PRJEB11252,SAMEA3594634,13393049,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_65D:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131309,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:09Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594634,ERS901783,IonTorrent PGM,ERS901783,ERP012611,28_IonXpress_008_rawlib_fil
ERR1051025,28_IonXpress_009_rawlib_fil,AMPLICON,239,25009333,PRJEB11252,SAMEA3594635,20027126,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_66D:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131310,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594635,ERS901784,IonTorrent PGM,ERS901784,ERP012611,28_IonXpress_009_rawlib_fil
ERR1051026,28_IonXpress_010_rawlib_fil,AMPLICON,196,20304244,PRJEB11252,SAMEA3594636,16347343,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_66D:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131311,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:09Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594636,ERS901785,IonTorrent PGM,ERS901785,ERP012611,28_IonXpress_010_rawlib_fil
ERR1051027,28_IonXpress_011_rawlib_fil,AMPLICON,211,20036678,PRJEB11252,SAMEA3594637,16070563,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_69M:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131312,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:09Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594637,ERS901786,IonTorrent PGM,ERS901786,ERP012611,28_IonXpress_011_rawlib_fil
ERR1051028,28_IonXpress_012_rawlib_fil,AMPLICON,224,21067798,PRJEB11252,SAMEA3594638,16830826,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_69M:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131313,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594638,ERS901787,IonTorrent PGM,ERS901787,ERP012611,28_IonXpress_012_rawlib_fil
ERR1051029,28_IonXpress_015_rawlib_fil,AMPLICON,215,13743619,PRJEB11252,SAMEA3594639,11086071,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_76M:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131314,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594639,ERS901788,IonTorrent PGM,ERS901788,ERP012611,28_IonXpress_015_rawlib_fil
ERR1051030,28_IonXpress_016_rawlib_fil,AMPLICON,209,13930996,PRJEB11252,SAMEA3594640,11225145,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_76M:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131315,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594640,ERS901789,IonTorrent PGM,ERS901789,ERP012611,28_IonXpress_016_rawlib_fil
ERR1051031,28_IonXpress_017_rawlib_fil,AMPLICON,211,19888450,PRJEB11252,SAMEA3594641,16021360,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_77D:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131316,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594641,ERS901790,IonTorrent PGM,ERS901790,ERP012611,28_IonXpress_017_rawlib_fil
ERR1051032,28_IonXpress_018_rawlib_fil,AMPLICON,216,18457297,PRJEB11252,SAMEA3594642,14890040,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_77D:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131317,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:09Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594642,ERS901791,IonTorrent PGM,ERS901791,ERP012611,28_IonXpress_018_rawlib_fil
ERR1051033,28_IonXpress_019_rawlib_fil,AMPLICON,212,16693378,PRJEB11252,SAMEA3594643,13414903,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_78M:0,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131318,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594643,ERS901792,IonTorrent PGM,ERS901792,ERP012611,28_IonXpress_019_rawlib_fil
ERR1051034,28_IonXpress_020_rawlib_fil,AMPLICON,212,17281864,PRJEB11252,SAMEA3594644,13881993,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",PATIENT_78M:RIF,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131319,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594644,ERS901793,IonTorrent PGM,ERS901793,ERP012611,28_IonXpress_020_rawlib_fil
ERR1051035,28_IonXpress_021_rawlib_fil,AMPLICON,213,16332093,PRJEB11252,SAMEA3594645,13117131,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131320,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594645,ERS901794,IonTorrent PGM,ERS901794,ERP012611,28_IonXpress_021_rawlib_fil
ERR1051036,28_IonXpress_022_rawlib_fil,AMPLICON,215,16735987,PRJEB11252,SAMEA3594646,13457827,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131321,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594646,ERS901795,IonTorrent PGM,ERS901795,ERP012611,28_IonXpress_022_rawlib_fil
ERR1051037,28_IonXpress_023_rawlib_fil,AMPLICON,216,28115192,PRJEB11252,SAMEA3594647,22512262,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131322,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594647,ERS901796,IonTorrent PGM,ERS901796,ERP012611,28_IonXpress_023_rawlib_fil
ERR1051038,28_IonXpress_024_rawlib_fil,AMPLICON,219,26849857,PRJEB11252,SAMEA3594648,21450642,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131323,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594648,ERS901797,IonTorrent PGM,ERS901797,ERP012611,28_IonXpress_024_rawlib_fil
ERR1051039,28_IonXpress_025_rawlib_fil,AMPLICON,213,26861399,PRJEB11252,SAMEA3594649,21560660,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131324,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594649,ERS901798,IonTorrent PGM,ERS901798,ERP012611,28_IonXpress_025_rawlib_fil
ERR1051040,28_IonXpress_026_rawlib_fil,AMPLICON,220,30337765,PRJEB11252,SAMEA3594650,24337969,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131325,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:55Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594650,ERS901799,IonTorrent PGM,ERS901799,ERP012611,28_IonXpress_026_rawlib_fil
ERR1051041,28_IonXpress_027_rawlib_fil,AMPLICON,222,22166737,PRJEB11252,SAMEA3594651,17631826,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131326,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594651,ERS901800,IonTorrent PGM,ERS901800,ERP012611,28_IonXpress_027_rawlib_fil
ERR1051042,28_IonXpress_028_rawlib_fil,AMPLICON,220,23916070,PRJEB11252,SAMEA3594652,19094880,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131327,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594652,ERS901801,IonTorrent PGM,ERS901801,ERP012611,28_IonXpress_028_rawlib_fil
ERR1051043,28_IonXpress_029_rawlib_fil,AMPLICON,216,19353307,PRJEB11252,SAMEA3594653,15487407,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131328,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594653,ERS901802,IonTorrent PGM,ERS901802,ERP012611,28_IonXpress_029_rawlib_fil
ERR1051044,28_IonXpress_030_rawlib_fil,AMPLICON,211,26416648,PRJEB11252,SAMEA3594654,21174951,CENTRUM MEDYCZNE KSZTALCENIA PODYPLOMOWEGO,2012,public,"bam,contigs,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",CONTROL,ERC000015,2016-09-01,2018-11-16,anthropogenic terrestrial biome,organ,feces,ERX1131329,Poland,53,21,human-gut,Centrum Medyczne Ksztalcenia Podyplomowego,2016-09-01T17:01:10Z,2016-10-21T09:36:54Z,public,Ion Torrent PGM,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,human gut metagenome,ION_TORRENT,PRJEB11252,2016-09-28T00:00:00Z,SAMEA3594654,ERS901803,IonTorrent PGM,ERS901803,ERP012611,28_IonXpress_030_rawlib_fil
