run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR9160294	SAMN11852886	SRS4846579	SRX5933377	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160294/SRR9160294.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160294
SRR9160303	SAMN11852842	SRS4846570	SRX5933368	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160303/SRR9160303.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160303
SRR9160304	SAMN11852835	SRS4846569	SRX5933367	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160304/SRR9160304.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160304
SRR9160308	SAMN11852843	SRS4846565	SRX5933363	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160308/SRR9160308.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160308
SRR9160318	SAMN11852784	SRS4846555	SRX5933353	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160318/SRR9160318.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160318
SRR9160319	SAMN11852783	SRS4846554	SRX5933352	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160319/SRR9160319.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160319
SRR9160320	SAMN11852826	SRS4846553	SRX5933351	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160320/SRR9160320.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160320
SRR9160321	SAMN11852825	SRS4846552	SRX5933350	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160321/SRR9160321.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160321
SRR9160323	SAMN11852827	SRS4846550	SRX5933348	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160323/SRR9160323.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160323
SRR9160324	SAMN11852830	SRS4846549	SRX5933347	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160324/SRR9160324.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160324
SRR9160327	SAMN11852831	SRS4846546	SRX5933344	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160327/SRR9160327.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160327
SRR9160328	SAMN11852834	SRS4846545	SRX5933343	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160328/SRR9160328.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160328
SRR9160331	SAMN11852818	SRS4846542	SRX5933340	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160331/SRR9160331.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160331
SRR9160332	SAMN11852815	SRS4846541	SRX5933339	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160332/SRR9160332.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160332
SRR9160334	SAMN11852821	SRS4846539	SRX5933337	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160334/SRR9160334.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160334
SRR9160339	SAMN11852824	SRS4846534	SRX5933332	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160339/SRR9160339.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160339
SRR9160346	SAMN11852807	SRS4846527	SRX5933325	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160346/SRR9160346.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160346
SRR9160347	SAMN11852806	SRS4846526	SRX5933324	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160347/SRR9160347.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160347
SRR9160352	SAMN11852796	SRS4846521	SRX5933319	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160352/SRR9160352.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160352
SRR9160235	SAMN11852790	SRS4846638	SRX5933436	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160235/SRR9160235.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160235
SRR9160247	SAMN11852866	SRS4846625	SRX5933424	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160247/SRR9160247.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160247
SRR9160248	SAMN11852865	SRS4846627	SRX5933423	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160248/SRR9160248.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160248
SRR9160251	SAMN11852874	SRS4846621	SRX5933420	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160251/SRR9160251.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160251
SRR9160252	SAMN11852873	SRS4846619	SRX5933419	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160252/SRR9160252.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160252
SRR9160253	SAMN11852861	SRS4846622	SRX5933418	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160253/SRR9160253.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160253
SRR9160256	SAMN11852860	SRS4846618	SRX5933415	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160256/SRR9160256.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160256
SRR9160260	SAMN11852856	SRS4846613	SRX5933411	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160260/SRR9160260.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160260
SRR9160264	SAMN11852781	SRS4846609	SRX5933407	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160264/SRR9160264.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160264
SRR9160265	SAMN11852780	SRS4846608	SRX5933406	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160265/SRR9160265.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160265
SRR9160269	SAMN11852776	SRS4846603	SRX5933402	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160269/SRR9160269.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160269
SRR9160273	SAMN11852881	SRS4846600	SRX5933398	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160273/SRR9160273.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160273
SRR9160278	SAMN11852878	SRS4846596	SRX5933393	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160278/SRR9160278.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160278
SRR9160283	SAMN11852846	SRS4846589	SRX5933388	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160283/SRR9160283.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160283
SRR9160284	SAMN11852845	SRS4846588	SRX5933387	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160284/SRR9160284.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160284
SRR9160287	SAMN11852850	SRS4846586	SRX5933384	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160287/SRR9160287.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160287
SRR9160289	SAMN11852841	SRS4846583	SRX5933382	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160289/SRR9160289.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160289
SRR9160290	SAMN11852894	SRS4846584	SRX5933381	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160290/SRR9160290.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160290
SRR9160295	SAMN11852885	SRS4846577	SRX5933376	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160295/SRR9160295.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160295
SRR9160296	SAMN11852892	SRS4846578	SRX5933375	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160296/SRR9160296.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160296
SRR9160297	SAMN11852891	SRS4846576	SRX5933374	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160297/SRR9160297.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160297
SRR9160301	SAMN11852840	SRS4846571	SRX5933370	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160301/SRR9160301.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160301
SRR9160306	SAMN11852837	SRS4846568	SRX5933365	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160306/SRR9160306.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160306
SRR9160309	SAMN11852844	SRS4846564	SRX5933362	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160309/SRR9160309.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160309
SRR9160310	SAMN11852901	SRS4846563	SRX5933361	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160310/SRR9160310.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160310
SRR9160311	SAMN11852902	SRS4846562	SRX5933360	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160311/SRR9160311.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160311
SRR9160312	SAMN11852899	SRS4846561	SRX5933359	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160312/SRR9160312.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160312
SRR9160313	SAMN11852900	SRS4846560	SRX5933358	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160313/SRR9160313.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160313
SRR9160316	SAMN11852895	SRS4846557	SRX5933355	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160316/SRR9160316.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160316
SRR9160317	SAMN11852896	SRS4846556	SRX5933354	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160317/SRR9160317.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160317
SRR9160333	SAMN11852816	SRS4846540	SRX5933338	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160333/SRR9160333.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160333
SRR9160335	SAMN11852822	SRS4846538	SRX5933336	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160335/SRR9160335.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160335
SRR9160338	SAMN11852823	SRS4846535	SRX5933333	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160338/SRR9160338.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160338
SRR9160344	SAMN11852809	SRS4846529	SRX5933327	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160344/SRR9160344.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160344
SRR9160348	SAMN11852805	SRS4846525	SRX5933323	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160348/SRR9160348.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160348
SRR9160350	SAMN11852813	SRS4846523	SRX5933321	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160350/SRR9160350.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160350
SRR9160351	SAMN11852795	SRS4846522	SRX5933320	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160351/SRR9160351.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160351
SRR9160355	SAMN11852799	SRS4846518	SRX5933316	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160355/SRR9160355.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160355
SRR9160356	SAMN11852800	SRS4846517	SRX5933315	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160356/SRR9160356.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160356
SRR9160358	SAMN11852802	SRS4846515	SRX5933313	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160358/SRR9160358.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160358
SRR9160360	SAMN11852804	SRS4846513	SRX5933311	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160360/SRR9160360.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160360
SRR9160234	SAMN11852793	SRS4846640	SRX5933437	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160234/SRR9160234.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160234
SRR9160238	SAMN11852791	SRS4846636	SRX5933433	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160238/SRR9160238.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160238
SRR9160241	SAMN11852788	SRS4846631	SRX5933430	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160241/SRR9160241.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160241
SRR9160242	SAMN11852787	SRS4846632	SRX5933429	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160242/SRR9160242.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160242
SRR9160249	SAMN11852868	SRS4846624	SRX5933422	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160249/SRR9160249.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160249
SRR9160250	SAMN11852867	SRS4846623	SRX5933421	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160250/SRR9160250.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160250
SRR9160255	SAMN11852859	SRS4846617	SRX5933416	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160255/SRR9160255.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160255
SRR9160263	SAMN11852782	SRS4846610	SRX5933408	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160263/SRR9160263.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160263
SRR9160266	SAMN11852779	SRS4846606	SRX5933405	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160266/SRR9160266.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160266
SRR9160267	SAMN11852883	SRS4846607	SRX5933404	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160267/SRR9160267.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160267
SRR9160268	SAMN11852884	SRS4846605	SRX5933403	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160268/SRR9160268.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160268
SRR9160270	SAMN11852775	SRS4846604	SRX5933401	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160270/SRR9160270.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160270
SRR9160274	SAMN11852882	SRS4846599	SRX5933397	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160274/SRR9160274.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160274
