run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR5245618	SAMN06322089	SRS1969959	SRX2552136	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/008/SRR5245618/SRR5245618.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/008/SRR5245618
SRR5245621	SAMN06322086	SRS1969962	SRX2552139	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245621/SRR5245621.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245621
SRR5245622	SAMN06322085	SRS1969963	SRX2552140	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/002/SRR5245622/SRR5245622.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/002/SRR5245622
SRR5245624	SAMN06322083	SRS1969965	SRX2552142	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/004/SRR5245624/SRR5245624.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/004/SRR5245624
SRR5245628	SAMN06322079	SRS1969969	SRX2552146	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/008/SRR5245628/SRR5245628.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/008/SRR5245628
SRR5245634	SAMN06322073	SRS1969975	SRX2552152	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/004/SRR5245634/SRR5245634.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/004/SRR5245634
SRR5245639	SAMN06322068	SRS1969980	SRX2552157	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/009/SRR5245639/SRR5245639.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/009/SRR5245639
SRR5245640	SAMN06322067	SRS1969981	SRX2552158	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245640/SRR5245640.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245640
SRR5245641	SAMN06322066	SRS1969982	SRX2552159	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245641/SRR5245641.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245641
SRR5245646	SAMN06322061	SRS1969987	SRX2552164	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/006/SRR5245646/SRR5245646.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/006/SRR5245646
SRR5245647	SAMN06322060	SRS1969988	SRX2552165	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/007/SRR5245647/SRR5245647.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/007/SRR5245647
SRR5245651	SAMN06322056	SRS1969992	SRX2552169	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245651/SRR5245651.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245651
SRR5245600	SAMN06322107	SRS1969941	SRX2552118	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245600/SRR5245600.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245600
SRR5245601	SAMN06322106	SRS1969942	SRX2552119	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245601/SRR5245601.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245601
SRR5245611	SAMN06322096	SRS1969952	SRX2552129	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245611/SRR5245611.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245611
SRR5245623	SAMN06322084	SRS1969964	SRX2552141	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/003/SRR5245623/SRR5245623.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/003/SRR5245623
SRR5245625	SAMN06322082	SRS1969966	SRX2552143	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/005/SRR5245625/SRR5245625.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/005/SRR5245625
SRR5245626	SAMN06322081	SRS1969967	SRX2552144	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/006/SRR5245626/SRR5245626.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/006/SRR5245626
SRR5245629	SAMN06322078	SRS1969970	SRX2552147	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/009/SRR5245629/SRR5245629.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/009/SRR5245629
SRR5245630	SAMN06322077	SRS1969971	SRX2552148	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245630/SRR5245630.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245630
SRR5245632	SAMN06322075	SRS1969973	SRX2552150	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/002/SRR5245632/SRR5245632.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/002/SRR5245632
SRR5245637	SAMN06322070	SRS1969978	SRX2552155	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/007/SRR5245637/SRR5245637.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/007/SRR5245637
SRR5245638	SAMN06322069	SRS1969979	SRX2552156	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/008/SRR5245638/SRR5245638.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/008/SRR5245638
SRR5245648	SAMN06322059	SRS1969989	SRX2552166	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/008/SRR5245648/SRR5245648.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/008/SRR5245648
SRR5245649	SAMN06322058	SRS1969990	SRX2552167	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/009/SRR5245649/SRR5245649.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/009/SRR5245649
SRR5245650	SAMN06322057	SRS1969991	SRX2552168	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245650/SRR5245650.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245650
