Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,env_biome,env_feature,env_material,Isolation_source,samp_size,source_material_ID
SRR2923803,AMPLICON,354,5490800,PRJNA302437,SAMN04272978,Metagenome or environmental,3323869,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923805,AMPLICON,354,3688506,PRJNA302437,SAMN04272978,Metagenome or environmental,2206824,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923806,AMPLICON,353,4481379,PRJNA302437,SAMN04272978,Metagenome or environmental,2611439,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923808,AMPLICON,356,6072446,PRJNA302437,SAMN04272978,Metagenome or environmental,3751410,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923809,AMPLICON,354,4129664,PRJNA302437,SAMN04272978,Metagenome or environmental,2540923,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923811,AMPLICON,356,5422523,PRJNA302437,SAMN04272978,Metagenome or environmental,3127089,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923813,AMPLICON,354,6796497,PRJNA302437,SAMN04272978,Metagenome or environmental,4124362,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923327,AMPLICON,358,2765366,PRJNA302437,SAMN04272978,Metagenome or environmental,1714558,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923348,AMPLICON,354,4720433,PRJNA302437,SAMN04272978,Metagenome or environmental,2873697,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923349,AMPLICON,355,5893286,PRJNA302437,SAMN04272978,Metagenome or environmental,3652191,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923350,AMPLICON,355,4615977,PRJNA302437,SAMN04272978,Metagenome or environmental,2772088,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923351,AMPLICON,355,3868978,PRJNA302437,SAMN04272978,Metagenome or environmental,2399028,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923352,AMPLICON,358,42349,PRJNA302437,SAMN04272978,Metagenome or environmental,60050,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923353,AMPLICON,355,4719943,PRJNA302437,SAMN04272978,Metagenome or environmental,2808820,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923354,AMPLICON,356,4439636,PRJNA302437,SAMN04272978,Metagenome or environmental,2692968,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923355,AMPLICON,355,3271336,PRJNA302437,SAMN04272978,Metagenome or environmental,2030533,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923356,AMPLICON,355,7346696,PRJNA302437,SAMN04272978,Metagenome or environmental,4357161,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923357,AMPLICON,357,4268562,PRJNA302437,SAMN04272978,Metagenome or environmental,2673448,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923358,AMPLICON,354,7168875,PRJNA302437,SAMN04272978,Metagenome or environmental,4314408,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923359,AMPLICON,355,3315735,PRJNA302437,SAMN04272978,Metagenome or environmental,2015366,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923360,AMPLICON,354,2724400,PRJNA302437,SAMN04272978,Metagenome or environmental,1679156,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923361,AMPLICON,354,2069641,PRJNA302437,SAMN04272978,Metagenome or environmental,1286514,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923362,AMPLICON,353,2743200,PRJNA302437,SAMN04272978,Metagenome or environmental,1635259,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923363,AMPLICON,355,6459257,PRJNA302437,SAMN04272978,Metagenome or environmental,3797291,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923364,AMPLICON,355,5233214,PRJNA302437,SAMN04272978,Metagenome or environmental,3260214,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923365,AMPLICON,356,4666461,PRJNA302437,SAMN04272978,Metagenome or environmental,3006246,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923366,AMPLICON,356,5580762,PRJNA302437,SAMN04272978,Metagenome or environmental,3325271,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923368,AMPLICON,357,2717573,PRJNA302437,SAMN04272978,Metagenome or environmental,1764136,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923369,AMPLICON,354,3746218,PRJNA302437,SAMN04272978,Metagenome or environmental,2245146,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923371,AMPLICON,354,3638985,PRJNA302437,SAMN04272978,Metagenome or environmental,2215421,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923373,AMPLICON,356,5810157,PRJNA302437,SAMN04272978,Metagenome or environmental,3563986,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923375,AMPLICON,356,5414779,PRJNA302437,SAMN04272978,Metagenome or environmental,3271665,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923376,AMPLICON,355,1996273,PRJNA302437,SAMN04272978,Metagenome or environmental,1226159,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923378,AMPLICON,355,7655457,PRJNA302437,SAMN04272978,Metagenome or environmental,4600079,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923380,AMPLICON,355,4253754,PRJNA302437,SAMN04272978,Metagenome or environmental,2500756,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923382,AMPLICON,357,6481796,PRJNA302437,SAMN04272978,Metagenome or environmental,3985584,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923383,AMPLICON,361,3583619,PRJNA302437,SAMN04272978,Metagenome or environmental,2248375,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923385,AMPLICON,356,4091968,PRJNA302437,SAMN04272978,Metagenome or environmental,2538503,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923387,AMPLICON,357,4406103,PRJNA302437,SAMN04272978,Metagenome or environmental,2637018,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923390,AMPLICON,357,6102675,PRJNA302437,SAMN04272978,Metagenome or environmental,3749470,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923391,AMPLICON,354,5564844,PRJNA302437,SAMN04272978,Metagenome or environmental,3376404,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923393,AMPLICON,367,2250557,PRJNA302437,SAMN04272978,Metagenome or environmental,1276153,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923395,AMPLICON,355,6750885,PRJNA302437,SAMN04272978,Metagenome or environmental,3944138,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923397,AMPLICON,354,3417613,PRJNA302437,SAMN04272978,Metagenome or environmental,2047876,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923398,AMPLICON,354,5754399,PRJNA302437,SAMN04272978,Metagenome or environmental,3544307,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923399,AMPLICON,355,4723365,PRJNA302437,SAMN04272978,Metagenome or environmental,2853366,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
